CLT_sign,CLT_var,a_mean,a_sample_size,a_se,b_mean,b_sample_size,b_se,fraction,lognormal_sign,lognormal_var,perm_test_sign,perm_test_var,ztest_sign,ztest_var
0.575172,0.10670891801599998,21.090089387144996,2676,1.0722618819556424,21.548943849056606,2650,1.1637550249027244,0.05,0.6594026666666666,0.10010971323733334,0.6052,0.08209432,0.49318846315156784,0.07024333053768168
0.502236,0.065130025504,21.17694666417492,5351,0.7783070650842084,21.173077335346292,5299,0.8158749790962334,0.1,0.6066026666666667,0.07587045137066667,0.447928,0.058346204416,0.3432719423651669,0.042809871556260065
0.5752720000000001,0.059276947616000004,21.123865287814606,8026,0.6400309553091229,21.40867523905385,7948,0.683661057371158,0.15,0.6737333333333333,0.05541818595555555,0.44130800000000003,0.065072426336,0.34201115328759757,0.05019556348763775
0.640988,0.04321917305600001,21.086205980190616,10702,0.5525095356919237,21.431804227212684,10598,0.5837410977551438,0.2,0.7827466666666667,0.038461860977777776,0.40992000000000006,0.0858499808,0.3182002103330749,0.060772170427594786
0.6140680000000001,0.090076526976,21.082646045746753,13378,0.4812796691588256,21.357337016908215,13248,0.5218458351709225,0.25,0.7466720000000001,0.04655247712711111,0.592888,0.061795145056000006,0.4668791415175326,0.04889765628210824
0.658816,0.042736117344,21.091389123528316,16053,0.448327937732034,21.414360772472797,15897,0.46924634765713047,0.3,0.7993760000000001,0.03185151249066667,0.43876800000000005,0.076237552576,0.33793276461086286,0.05439060822793745
0.562592,0.08684914473600001,21.17003972661256,18728,0.41804487350775754,21.307375606599813,18546,0.43356727928864375,0.35,0.6886666666666666,0.06613152426666667,0.550068,0.059173765376,0.4281381999848752,0.045687083697642586
0.6635000000000001,0.05133216399999999,20.991222593907683,21404,0.3909496164658546,21.278344555576528,21196,0.404624100888331,0.4,0.8236533333333332,0.025903617422222216,0.47332799999999997,0.088486090016,0.36431877694198705,0.05798940082830785
0.709028,0.05942149401599999,21.04515637873754,24080,0.3613688404773789,21.41861670720456,23846,0.3869196196428389,0.45,0.8393013333333333,0.02321172093155556,0.589984,0.06392370934399999,0.4654392088773616,0.0515135563796765
0.669316,0.044204942144,21.002993160156983,26755,0.3438882896713525,21.277609798075108,26495,0.36602081724584273,0.5,0.830256,0.02179028468622222,0.455552,0.081719400096,0.35254331534686867,0.05813695413328364
0.78626,0.018063525599999998,20.993888648024196,29431,0.32922710138428335,21.443206999485334,29145,0.35614482723950197,0.55,0.8978346666666667,0.007606478620444443,0.581172,0.063126530816,0.45529495673985976,0.04841068969464385
0.786436,0.034204386304,20.955368504329414,32106,0.3114857215997688,21.39692066427628,31794,0.3387203592787018,0.6,0.9128000000000001,0.017844696177777775,0.6406479999999999,0.05439453369599999,0.50852045749493,0.046302819837468194
0.7403200000000001,0.020719871199999997,21.027626645966308,34782,0.3041064810058956,21.34963281848798,34444,0.32621573734951226,0.65,0.8943519999999999,0.007129946851555557,0.493288,0.069890666656,0.37871886590902704,0.04766068076651777
0.7887440000000001,0.015693860063999997,21.015559975438507,37457,0.29369903031820804,21.399481993907212,37093,0.31433496359081137,0.7,0.9188746666666665,0.004097415224888889,0.5788319999999999,0.062930256576,0.44965163932489555,0.04564824034217088
0.7927879999999999,0.022802205855999996,21.00752749925247,40132,0.2818802646204636,21.398828483719996,39742,0.30538612330242537,0.75,0.9240160000000001,0.004579410943999999,0.604212,0.06905614025599999,0.47747696288267605,0.052271532992609074
0.8174399999999999,0.011866208,20.9871645113063,42808,0.27274826668901175,21.391462936403094,42392,0.2938007442102898,0.8,0.947072,0.0014745109048888885,0.636232,0.04704075017600001,0.49916004284609655,0.03814274967682757
0.77728,0.015037125600000001,21.03209552370064,45484,0.2645720697657425,21.35909811287243,45042,0.2834867645622748,0.85,0.9320640000000001,0.002599331726222221,0.552644,0.060935486464,0.42880836725491084,0.043203903246042084
0.8438080000000001,0.004928619135999999,21.008023571918024,48159,0.25853031769854,21.407948032123457,47691,0.27696566086504204,0.9,0.9619466666666666,0.0006659470222222222,0.6853239999999999,0.020364705823999997,0.5343254056851338,0.01700826128370914
0.855356,0.0019473056639999998,21.00383775425896,50834,0.25114854884015897,21.399928343265792,50340,0.2691507492027783,0.95,0.9687359999999998,0.0001956567040000001,0.7089519999999999,0.007706058496,0.5494653782884161,0.006647594149904505
0.854688,9.09305599999996e-06,21.008963931975337,53510,0.2445710973419085,21.388920173617663,52990,0.26198764210851755,1.0,0.9724533333333332,8.907377777777774e-06,0.710168,2.0925375999999996e-05,0.5467895077134305,1.0756611480754258e-29
